PROJECT_ACRONYM;MODEL_ACRONYM;LENGTH(MODEL_ACRONYM);MODEL_LABEL;RIGHTS;RIGHTS_URI;RIGHTS_IDENTIFIER
CMIP6_input4MIPs;MIROC-ESM-CHEM-rcp85-1-0;24;MIROC-ESM-CHEM-rcp85-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;MIROC5-rcp26-1-0;16;MIROC5-rcp26-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;MIROC5-rcp85-1-0;16;MIROC5-rcp85-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;MOHC-HadISST-2-2-0-0-0;22;MOHC-HadISST-2-2-0-0-0;Crown copyright protection;;
CMIP6_input4MIPs;MOHC-SST;8;MOHC-SST;Crown copyright protection;;
CMIP6_input4MIPs;MOHC-highresSST-future-1-0-0;28;MOHC-highresSST-future-1-0-0;Crown copyright protection;;
CMIP6_input4MIPs;MOHC-highresSST-future-1-0-1;28;MOHC-highresSST-future-1-0-1;Crown copyright protection;;
CMIP6_input4MIPs;MPI-B-1pctNdep;14;MPI-B-1pctNdep;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;MPI-B-1pctNdep-1-0;18;MPI-B-1pctNdep-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;MPI-M-MACv2;11;MPI-M-MACv2;Creative Commons Attribution 3.0 International License (CC BY 3.0);http://creativecommons.org/licenses/by/3.0/;CC BY 3.0
CMIP6_input4MIPs;MPI-M-MACv2-SP-1-0;18;MPI-M-MACv2-SP-1-0;Creative Commons Attribution 3.0 International License (CC BY 3.0);http://creativecommons.org/licenses/by/3.0/;CC BY 3.0
CMIP6_input4MIPs;MRI-JRA55-do;12;MRI-JRA55-do;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;MRI-JRA55-do-1-3;16;MRI-JRA55-do-1-3;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;MRI-JRA55-do-1-3-2;18;MRI-JRA55-do-1-3-2;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;MRI-JRA55-do-1-4-0;18;MRI-JRA55-do-1-4-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;MRI-JRA55-do-1-5-0;18;MRI-JRA55-do-1-5-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NASA-GFSC;9;NASA-GSFC;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI;9;NCAR-CCMI;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-1-0;13;NCAR-CCMI-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-2-0;13;NCAR-CCMI-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
