PROJECT_ACRONYM;MODEL_ACRONYM;LENGTH(MODEL_ACRONYM);MODEL_LABEL;RIGHTS;RIGHTS_URI;RIGHTS_IDENTIFIER
IPCC-AR6_CMIP6;CESM1-WACCM-SC;14;CESM1-WACCM-SC;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM2;5;CESM2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM2-FV2;9;CESM2-FV2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM2-SE;8;CESM2-SE;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM2-WACCM;11;CESM2-WACCM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM2-WACCM-FV2;15;CESM2-WACCM-FV2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CIESM;5;CIESM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-CM2-HR4;12;CMCC-CM2-HR4;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-CM2-HR5;12;CMCC-CM2-HR5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-CM2-SR5;12;CMCC-CM2-SR5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-CM2-VHR4;13;CMCC-CM2-VHR4;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-ESM2;9;CMCC-ESM2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-ESM2-HR5;13;CMCC-ESM2-HR5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CMCC-ESM2-SR5;13;CMCC-ESM2-SR5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CNRM-CM6-1;10;CNRM-CM6-1;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;CNRM-CM6-1-HR;13;CNRM-CM6-1-HR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;CNRM-ESM2-1;11;CNRM-ESM2-1;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;CNRM-ESM2-1-HR;14;CNRM-ESM2-1-HR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;CSIRO-Mk3L-1-3;14;CSIRO Mk3L 1.3;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CanESM5;7;CanESM5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CanESM5-CanOE;13;CanESM5-CanOE;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;E3SM-1-0;8;E3SM 1.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;E3SM-1-1;8;E3SM 1.1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;E3SM-1-1-ECA;12;E3SM 1.1 ECA;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3;9;EC-Earth3;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-AerChem;17;EC-Earth3-AerChem;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-CC;12;EC-Earth3-CC;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-GrIS;14;EC-Earth3-GrIS;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-HR;12;EC-Earth3-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-LR;12;EC-Earth3-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-Veg;13;EC-Earth3-Veg;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3-Veg-LR;16;EC-Earth3-Veg-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3P;10;EC-Earth3P;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3P-HR;13;EC-Earth3P-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EC-Earth3P-VHR;14;EC-Earth3P-VHR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;ECMWF-IFS-HR;12;ECMWF-IFS-HR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;ECMWF-IFS-LR;12;ECMWF-IFS-LR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;ECMWF-IFS-MR;12;ECMWF-IFS-MR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;EMAC-2-53-Vol;13;EMAC-2-53-Vol;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;EMAC-2-54-AerChem;17;EMAC-2-54-AerChem;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;FGOALS-f3-H;11;FGOALS-f3-H;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;FGOALS-f3-L;11;FGOALS-f3-L;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;FGOALS-g3;9;FGOALS-g3;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;FIO-ESM-2-0;11;FIO-ESM 2.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-AM4;8;GFDL-AM4;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-CM4;8;GFDL-CM4;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-CM4C192;12;GFDL-CM4C192;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-ESM2M;10;GFDL-ESM2M;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-ESM4;9;GFDL-ESM4;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-GLOBAL-LBL;15;GFDL-GLOBAL-LBL;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-GRTCODE;12;GFDL-GRTCODE;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-OM4p5B;11;GFDL-OM4p5B;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GFDL-RFM-DISORT;15;GFDL-RFM-DISORT;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GISS-E2-1-G;11;GISS-E2.1G;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GISS-E2-1-G-CC;14;GISS-E2-1-G-CC;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GISS-E2-1-H;11;GISS-E2.1H;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GISS-E2-2-G;11;GISS-E2-2-G;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GISS-E2-2-H;11;GISS-E2.2H;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;GISS-E3-G;9;GISS-E3-G;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HadGEM3-GC31-HH;15;HadGEM3-GC31-HH;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HadGEM3-GC31-HM;15;HadGEM3-GC31-HM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HadGEM3-GC31-LL;15;HadGEM3-GC31-LL;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HadGEM3-GC31-LM;15;HadGEM3-GC31-LM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HadGEM3-GC31-MH;15;HadGEM3-GC31-MH;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HadGEM3-GC31-MM;15;HadGEM3-GC31-MM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HiRAM-SIT-HR;12;HiRAM-SIT-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;HiRAM-SIT-LR;12;HiRAM-SIT-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;ICON-ESM-LR;11;ICON-ESM-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IITM-ESM;8;IITM-ESM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;INM-CM4-8;9;INM-CM4-8;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;INM-CM5-0;9;INM-CM5-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;INM-CM5-H;9;INM-CM5-H;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM5A2-INCA;15;IPSL-CM5A2-INCA;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-ATM-HR;16;IPSL-CM6A-ATM-HR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-ATM-ICO-HR;20;IPSL-CM6A-ATM-ICO-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-ATM-ICO-LR;20;IPSL-CM6A-ATM-ICO-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-ATM-ICO-MR;20;IPSL-CM6A-ATM-ICO-MR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-ATM-ICO-VHR;21;IPSL-CM6A-ATM-ICO-VHR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-LR;12;IPSL-CM6A-LR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-LR-INCA;17;IPSL-CM6A-LR-INCA;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-MR025;15;IPSL-CM6A-MR025;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM6A-MR1;13;IPSL-CM6A-MR1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM7A-ATM-HR;16;IPSL-CM7A-ATM-HR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;IPSL-CM7A-ATM-LR;16;IPSL-CM7A-ATM-LR;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;KACE-1-0-G;10;KACE1.0-G;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;KIOST-ESM;9;KIOST-ESM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;LBLRTM-12-8;11;LBLRTM 12.8;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;MCM-UA-1-0;10;MCM-UA-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MIROC-ES2H;10;MIROC-ES2H;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MIROC-ES2H-NB;13;MIROC-ES2H-NB;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MIROC-ES2L;10;MIROC-ES2L;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MIROC6;6;MIROC6;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MPI-ESM-1-2-HAM;15;MPI-ESM1.2-HAM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MPI-ESM1-2-HR;13;MPI-ESM1.2-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MPI-ESM1-2-LR;13;MPI-ESM1.2-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MPI-ESM1-2-XR;13;MPI-ESM1.2-XR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MRI-AGCM3-2-H;13;MRI-AGCM3-2-H;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MRI-AGCM3-2-S;13;MRI-AGCM3-2-S;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;MRI-ESM2-0;10;MRI-ESM2.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NESM3;5;NESM v3;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NICAM16-7S;10;NICAM16-7S;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NICAM16-8S;10;NICAM16-8S;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NICAM16-9D-L78;14;NICAM16-9D-L78;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NICAM16-9S;10;NICAM16-9S;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorCPM1;7;NorCPM1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM1-F;9;NorESM1-F;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM2-HH;10;NorESM2-HH;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM2-LM;10;NorESM2-LM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM2-LME;11;NorESM2-LME;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM2-LMEC;12;NorESM2-LMEC;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM2-MH;10;NorESM2-MH;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;NorESM2-MM;10;NorESM2-MM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;PCMDI-test-1-0;14;PCMDI-test 1.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;RRTMG-LW-4-91;13;RRTMG-LW 4.91;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;RRTMG-SW-4-02;13;RRTMG-SW 4.02;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;RTE-RRTMGP-181204;17;RTE+RRTMGP (2018-12-04 full-resolution);Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;SAM0-UNICON;11;SAM0-UNICON;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;TaiESM1;7;TaiESM 1.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;TaiESM1-TIMCOM;14;TaiESM1-TIMCOM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
